Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
30,December,2019,Sweden,Stockholm,50,46.5,45,93,85.1,71,23,16.9,13,29.8,29.6,29.4,0
31,December,2019,Sweden,Stockholm,43,39.3,36,76,65.7,56,18,13.5,7,30.1,29.8,29.5,0
1,January,2020,Sweden,Stockholm,43,39.4,36,81,74.6,60,21,11.9,6,30,29.9,29.8,0
2,January,2020,Sweden,Stockholm,45,43.6,43,87,78.9,71,22,15.6,10,29.8,29.7,29.6,0
3,January,2020,Sweden,Stockholm,46,42.6,37,81,70.5,49,25,15.6,6,29.6,29.4,29.3,0
4,January,2020,Sweden,Stockholm,39,36.1,32,75,56.6,48,23,17.1,10,29.9,29.4,29.2,0
5,January,2020,Sweden,Stockholm,37,32.3,28,100,77.6,60,17,9.4,3,30.2,30,29.9,0
6,January,2020,Sweden,Stockholm,43,41.2,37,100,96.2,93,12,6.8,3,29.9,29.9,29.8,0
7,January,2020,Sweden,Stockholm,43,41.5,41,100,89.8,81,14,9.4,6,29.9,29.8,29.7,0
8,January,2020,Sweden,Stockholm,50,44.6,39,87,75.5,66,20,14.8,12,29.7,29.5,29.4,0
9,January,2020,Sweden,Stockholm,41,36.5,32,100,86.3,70,15,7.4,0,29.8,29.7,29.6,0
10,January,2020,Sweden,Stockholm,36,32,23,100,93.3,86,7,3.6,0,30,29.9,29.7,0
11,January,2020,Sweden,Stockholm,45,31.9,19,100,87.4,70,17,8.9,0,30.1,29.9,29.5,0
12,January,2020,Sweden,Stockholm,46,42.9,32,100,83.9,71,17,11.9,2,29.6,29.5,29.4,0
13,January,2020,Sweden,Stockholm,39,36,32,100,90.7,81,13,8.5,5,29.7,29.7,29.6,0
14,January,2020,Sweden,Stockholm,41,39.2,34,100,89.3,81,22,12.1,6,29.7,29.5,29.4,0
15,January,2020,Sweden,Stockholm,52,45.7,41,100,82.6,71,18,11.8,8,29.5,29.4,29.2,0
16,January,2020,Sweden,Stockholm,48,43.6,41,81,76.3,66,20,13.4,8,30,29.8,29.5,0
17,January,2020,Sweden,Stockholm,41,40.3,39,100,88.1,81,15,9,5,30,29.9,29.8,0
18,January,2020,Sweden,Stockholm,43,41.5,39,100,87.1,76,10,7.9,6,29.7,29.7,29.6,0
19,January,2020,Sweden,Stockholm,41,37.8,34,93,82.4,65,12,7.7,6,30.4,30.1,29.7,0
20,January,2020,Sweden,Stockholm,45,39,34,87,79,70,20,11,6,30.4,30.2,30,0
21,January,2020,Sweden,Stockholm,46,44.7,41,87,76.4,53,23,12.5,5,30,30,29.9,0
22,January,2020,Sweden,Stockholm,43,38,34,70,61.9,53,22,14.3,7,30.2,30,29.9,0
23,January,2020,Sweden,Stockholm,43,34,0,93,78.6,0,12,7.5,3,30.2,29.9,29.6,0
24,January,2020,Sweden,Stockholm,46,41.9,39,87,83.2,75,15,10.2,5,29.6,29.6,29.5,0
25,January,2020,Sweden,Stockholm,39,36.1,32,93,79.7,61,14,7.5,3,29.8,29.7,29.6,0
26,January,2020,Sweden,Stockholm,45,43.3,39,93,82,76,20,11.4,5,29.7,29.6,29.6,0
27,January,2020,Sweden,Stockholm,43,40.7,39,100,91.6,81,9,6.7,3,29.7,29.6,29.4,0
28,January,2020,Sweden,Stockholm,41,38.5,36,100,96.2,93,18,9.1,3,29.4,29.3,29.1,0
29,January,2020,Sweden,Stockholm,41,38,34,100,94.6,87,14,7.3,1,29.3,29.2,29.1,0
30,January,2020,Sweden,Stockholm,37,34.7,30,100,97.9,93,5,2.1,0,29.4,29.3,29.3,0
31,January,2020,Sweden,Stockholm,39,36.7,34,100,92.5,87,9,5.8,2,29.3,29.3,29.2,0
1,February,2020,Sweden,Stockholm,48,42.4,37,100,91.8,81,12,9,3,29.3,29,28.9,0
2,February,2020,Sweden,Stockholm,45,39.3,36,93,77,61,20,12.8,9,29.2,29,28.9,0
3,February,2020,Sweden,Stockholm,36,30.1,21,100,82.1,60,10,5,0,29.5,29.4,29.2,0
4,February,2020,Sweden,Stockholm,34,27.3,19,100,87.8,69,7,3.4,0,29.9,29.6,29.4,0
5,February,2020,Sweden,Stockholm,39,32.8,27,86,76.7,60,20,11.9,6,30,29.9,29.7,0
6,February,2020,Sweden,Stockholm,39,32,21,100,79.9,65,14,4.4,0,30.3,30,29.7,0
7,February,2020,Sweden,Stockholm,37,30.1,19,100,91.5,75,16,6.3,0,30.3,30.2,30.1,0
8,February,2020,Sweden,Stockholm,37,36.8,36,100,90.9,81,15,9.3,5,30.1,30,29.8,0
9,February,2020,Sweden,Stockholm,43,40.3,36,100,89.3,81,25,14.8,7,29.8,29.3,28.6,0
10,February,2020,Sweden,Stockholm,45,43,39,93,81.9,66,23,15.2,10,28.6,28.4,28.3,0
11,February,2020,Sweden,Stockholm,41,38.7,36,87,75.6,70,16,10,3,28.8,28.7,28.6,0
12,February,2020,Sweden,Stockholm,41,37.3,34,93,84.6,70,14,9.7,3,29.1,28.9,28.8,0
13,February,2020,Sweden,Stockholm,39,33.4,28,93,74.7,52,14,7.8,2,29.6,29.4,29.1,0
14,February,2020,Sweden,Stockholm,39,29.8,21,100,84.1,61,7,2.2,0,30,29.9,29.6,0
15,February,2020,Sweden,Stockholm,41,38.5,36,93,85.5,75,13,9.7,5,30,29.8,29.6,0
16,February,2020,Sweden,Stockholm,50,44.5,41,100,87.5,57,20,15.3,10,29.6,29.1,28.9,0
17,February,2020,Sweden,Stockholm,46,43.2,39,93,74,57,23,15.6,7,29.1,29.1,28.9,0
18,February,2020,Sweden,Stockholm,46,44.3,39,76,70.1,62,23,15.9,9,29.4,29.3,29.1,0
19,February,2020,Sweden,Stockholm,45,39.3,30,93,75.3,66,15,8.8,0,29.7,29.5,29.4,0
20,February,2020,Sweden,Stockholm,41,34.1,23,100,89.3,70,18,8.5,0,29.8,29.7,29.4,0
21,February,2020,Sweden,Stockholm,46,42.7,41,93,75.4,57,20,14.7,12,29.5,29.4,29.2,0
22,February,2020,Sweden,Stockholm,48,43.2,39,93,77.4,61,28,17.9,13,29.4,29.1,28.8,0
23,February,2020,Sweden,Stockholm,46,41.3,36,81,64.2,46,22,15.7,8,29.3,29.1,28.9,0
24,February,2020,Sweden,Stockholm,41,34.1,25,93,63.6,45,16,8,0,29.6,29.5,29.3,0
25,February,2020,Sweden,Stockholm,39,32.5,25,100,83.9,65,16,8.3,0,29.5,29.3,29.1,0
26,February,2020,Sweden,Stockholm,36,32.5,30,75,63.5,52,18,13.1,8,29.3,29.2,29.1,0
27,February,2020,Sweden,Stockholm,32,29.7,27,100,85.8,64,10,7.8,2,29.4,29.4,29.3,0
28,February,2020,Sweden,Stockholm,34,29.9,27,86,74.3,60,10,4.9,2,29.6,29.5,29.4,0
29,February,2020,Sweden,Stockholm,39,34.2,28,100,91,75,10,5.2,0,29.5,29.4,29.1,0
1,March,2020,Sweden,Stockholm,41,39,36,100,88.9,76,14,10,7,29.1,29,28.9,0
2,March,2020,Sweden,Stockholm,46,39.7,36,93,83,57,10,7.1,3,29.5,29.3,29.1,0
3,March,2020,Sweden,Stockholm,41,38.7,37,100,93.3,87,14,9.4,6,29.6,29.6,29.5,0
4,March,2020,Sweden,Stockholm,39,35.8,34,100,97.1,93,13,9.9,7,29.6,29.5,29.3,0
5,March,2020,Sweden,Stockholm,37,34.7,30,100,93.7,87,9,6.1,2,29.5,29.5,29.4,0
6,March,2020,Sweden,Stockholm,45,33.9,25,100,84.9,53,6,1.8,0,29.7,29.6,29.5,0
7,March,2020,Sweden,Stockholm,43,34.2,28,100,96,76,7,2.8,0,29.9,29.8,29.7,0
8,March,2020,Sweden,Stockholm,45,39.3,28,100,84.6,66,18,10.6,0,29.8,29.7,29.6,0
9,March,2020,Sweden,Stockholm,50,44,39,100,81.6,58,14,8.3,2,29.6,29.6,29.6,0
10,March,2020,Sweden,Stockholm,43,40.7,39,100,92.8,81,15,7.1,0,29.6,29.4,29.1,0
11,March,2020,Sweden,Stockholm,45,40.7,39,100,85.8,61,21,12,2,29.2,29,28.9,0
12,March,2020,Sweden,Stockholm,43,38.9,34,100,84.5,70,16,10,5,29.2,28.9,28.7,0
13,March,2020,Sweden,Stockholm,39,35.6,30,93,59.5,33,14,10.6,5,29.7,29.4,29,0
14,March,2020,Sweden,Stockholm,36,29.8,25,60,47.1,30,16,10.4,3,30.1,30,29.7,0
15,March,2020,Sweden,Stockholm,45,38.2,30,81,68.3,55,22,13.9,7,30,29.8,29.6,0
16,March,2020,Sweden,Stockholm,43,39.1,28,100,72.8,39,14,7.2,2,30.1,29.8,29.6,0
17,March,2020,Sweden,Stockholm,46,41.2,30,87,76.5,66,20,11.1,3,30.1,29.9,29.8,0
18,March,2020,Sweden,Stockholm,45,43.4,39,100,81.9,70,17,9.6,0,29.8,29.7,29.6,0
19,March,2020,Sweden,Stockholm,50,41.6,36,81,65.2,43,17,11.8,7,30,29.9,29.8,0
20,March,2020,Sweden,Stockholm,39,34.5,25,93,72.9,45,13,7.9,2,30.4,30.2,30,0
21,March,2020,Sweden,Stockholm,37,31.2,25,93,62.4,36,18,8.8,2,30.6,30.5,30.4,0
22,March,2020,Sweden,Stockholm,41,30.5,18,100,69.8,31,10,4.8,0,30.7,30.7,30.6,0
23,March,2020,Sweden,Stockholm,43,36,30,75,59.6,34,16,9.5,5,30.6,30.5,30.4,0
24,March,2020,Sweden,Stockholm,46,39.5,32,75,54.3,34,14,10.5,6,30.4,30.4,30.3,0
25,March,2020,Sweden,Stockholm,54,45,37,52,34.2,22,17,12.5,9,30.3,30.3,30.2,0
26,March,2020,Sweden,Stockholm,54,43.2,36,75,46.1,26,12,7.9,3,30.4,30.3,30.3,0
27,March,2020,Sweden,Stockholm,52,39.2,27,100,64.3,28,10,4.2,0,30.4,30.3,30.2,0
28,March,2020,Sweden,Stockholm,48,38.9,30,80,56.7,37,14,7,0,30.2,30.1,30.1,0
29,March,2020,Sweden,Stockholm,41,33.5,27,64,44.6,28,16,10.7,3,30.3,30.2,30,0
30,March,2020,Sweden,Stockholm,36,31.2,25,93,61.6,37,20,10.9,5,30.3,30.2,30,0
31,March,2020,Sweden,Stockholm,48,34.3,16,93,56.3,33,18,10.1,0,30.3,30.1,29.7,0
