Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
19,December,2019,USA,New York,26,22.2,18,68,54.3,47,28,19.7,12,30.4,30.3,30.1,0
20,December,2019,USA,New York,34,28,24,62,53,42,17,11.9,7,30.6,30.5,30.4,0
21,December,2019,USA,New York,35,30.1,24,72,62.1,56,10,4.8,0,30.6,30.5,30.4,0
22,December,2019,USA,New York,47,39.7,31,69,53.9,42,14,7.1,3,30.4,30.3,30.1,0
23,December,2019,USA,New York,57,47.3,38,68,46.3,26,13,6.7,0,30.1,30,29.9,0
24,December,2019,USA,New York,47,42.8,36,65,49.1,39,15,8.5,3,30.2,30.1,29.9,0
25,December,2019,USA,New York,42,37.5,34,86,63.7,50,8,6.3,3,30.2,30.2,30.1,0
26,December,2019,USA,New York,46,39.1,36,93,84.1,76,15,8.8,5,30.4,30.3,30.2,0
27,December,2019,USA,New York,54,50.3,43,86,70.9,62,14,9,5,30.3,30.2,30.1,0
28,December,2019,USA,New York,50,46.9,44,83,63.1,44,14,8.2,0,30.2,30.2,30.1,0
29,December,2019,USA,New York,44,40.5,39,93,75.7,58,13,8.6,0,30.3,30.1,29.9,0
30,December,2019,USA,New York,43,40.8,39,93,87.1,82,30,18.7,10,29.9,29.8,29.7,0.53
31,December,2019,USA,New York,45,40.9,38,89,77.5,55,16,8.8,0,29.7,29.6,29.6,0.25
1,January,2020,USA,New York,40,38.1,36,58,48.8,41,23,15.9,8,29.9,29.8,29.6,0.01
2,January,2020,USA,New York,49,42.1,34,61,51.1,36,12,8.3,3,30,29.9,29.8,0
3,January,2020,USA,New York,49,46.7,45,90,80.5,58,8,4.9,0,29.8,29.8,29.7,0.05
4,January,2020,USA,New York,49,46.1,41,100,91.4,71,22,6.8,0,29.8,29.6,29.5,0.32
5,January,2020,USA,New York,40,38.2,36,73,52.2,44,33,20.2,7,30,29.8,29.5,0.01
6,January,2020,USA,New York,44,37.8,32,88,63.6,34,24,11.9,5,30,29.9,29.9,0.02
7,January,2020,USA,New York,43,39.5,35,86,53.1,37,15,8.6,3,30.1,30,29.9,0
8,January,2020,USA,New York,42,35,29,76,56.9,34,30,18.5,10,30.4,30,29.8,0
9,January,2020,USA,New York,33,29.2,24,54,41.7,27,23,11,0,30.7,30.6,30.4,0
10,January,2020,USA,New York,53,44.3,33,77,68.9,59,14,9.6,3,30.6,30.5,30.4,0
11,January,2020,USA,New York,64,55.4,50,88,76.1,60,20,10.5,5,30.4,30.1,29.9,0
12,January,2020,USA,New York,67,59.1,44,94,67.3,32,25,15.6,9,30.4,30,29.8,0.06
13,January,2020,USA,New York,44,41.5,37,93,80.3,60,13,8.5,0,30.4,30.4,30.3,0
14,January,2020,USA,New York,43,40.5,39,96,86,68,14,6.8,0,30.4,30.2,30.1,0
15,January,2020,USA,New York,50,45.3,42,96,70.4,41,16,8.2,0,30.2,30.1,30,0.07
16,January,2020,USA,New York,50,43.1,34,90,70.3,41,30,18.8,5,30.2,29.9,29.8,0.1
17,January,2020,USA,New York,33,26.3,21,54,39.4,28,32,19.2,12,30.7,30.5,30.2,0.02
18,January,2020,USA,New York,37,27.1,20,97,70.2,36,20,8.1,0,30.6,30.3,29.7,0
19,January,2020,USA,New York,43,37.7,28,89,61.9,40,30,16.3,9,30,29.8,29.7,0
20,January,2020,USA,New York,31,25.8,21,58,43.3,28,25,17.3,13,30.4,30.2,30,0
21,January,2020,USA,New York,32,26.8,21,60,46.4,31,16,9.2,6,30.4,30.4,30.4,0
22,January,2020,USA,New York,38,32.5,27,61,50,39,7,3.4,0,30.5,30.4,30.4,0
23,January,2020,USA,New York,46,39.5,31,64,46.8,28,9,4.3,0,30.4,30.4,30.3,0
24,January,2020,USA,New York,46,39.8,33,85,65.4,42,13,7.2,0,30.4,30.3,30.3,0
25,January,2020,USA,New York,51,42.3,37,93,87,76,30,15.5,0,30.2,29.9,29.7,0
26,January,2020,USA,New York,45,41.8,39,79,60.9,46,18,12.8,8,29.8,29.8,29.7,0.78
27,January,2020,USA,New York,44,40.5,38,65,58.8,49,18,13.3,0,29.7,29.7,29.6,0
28,January,2020,USA,New York,41,38.9,37,65,57.2,51,23,16.2,12,29.9,29.8,29.7,0
29,January,2020,USA,New York,40,35,31,54,46.6,36,17,12.1,9,30.2,30.1,29.9,0
30,January,2020,USA,New York,35,30.7,25,64,55.3,48,14,8.1,5,30.3,30.3,30.2,0
31,January,2020,USA,New York,43,37.6,33,87,73.8,66,9,6.9,5,30.3,30.3,30.1,0
1,February,2020,USA,New York,41,38.6,37,93,87,79,8,4.8,0,30.1,29.9,29.6,0.01
2,February,2020,USA,New York,43,38.1,35,87,75.9,47,15,8.7,3,29.6,29.6,29.5,0.02
3,February,2020,USA,New York,56,46.4,37,89,62.1,39,14,8.2,0,29.9,29.8,29.5,0.05
4,February,2020,USA,New York,58,47.8,40,86,76.7,62,13,5.4,0,29.8,29.8,29.7,0
5,February,2020,USA,New York,47,40.8,39,82,60,37,17,10.5,6,30.1,30,29.8,0.01
6,February,2020,USA,New York,40,37.9,35,97,91,62,18,11.7,3,29.9,29.6,29.4,0.5
7,February,2020,USA,New York,57,39.9,33,97,78.5,48,33,17.1,7,29.7,29.2,28.8,0.19
8,February,2020,USA,New York,40,35,30,75,46.8,38,25,14,6,30.4,30.1,29.8,0.16
9,February,2020,USA,New York,42,36.1,31,82,72.7,51,15,10.4,0,30.5,30.4,30.3,0
10,February,2020,USA,New York,46,44.1,42,93,78.4,58,15,8.6,0,30.3,29.2,0,0.02
11,February,2020,USA,New York,47,43.7,42,97,88.9,65,20,8.3,0,30.1,29.9,29.8,0.54
12,February,2020,USA,New York,45,41.3,37,82,51.4,35,25,12.4,0,30.2,30.1,29.9,0.13
13,February,2020,USA,New York,43,39.3,36,93,85.7,60,25,7.7,0,29.9,29.7,29.6,0
14,February,2020,USA,New York,40,30.1,19,65,44.7,30,28,17.5,12,30.6,30.3,29.9,0.13
15,February,2020,USA,New York,30,23.3,15,58,48.1,36,15,9.8,0,30.6,30.5,30.3,0
16,February,2020,USA,New York,43,37.1,30,73,58.2,45,13,6.5,0,30.3,30.1,30.1,0
17,February,2020,USA,New York,51,43.7,38,62,46.5,28,15,7.3,0,30.4,30.2,30.1,0
18,February,2020,USA,New York,45,40.8,37,96,79.2,52,16,9.5,0,30.4,30.1,30,0
19,February,2020,USA,New York,47,42,33,86,46.2,25,22,14.5,8,30.4,30.2,30,0
20,February,2020,USA,New York,35,31.8,27,50,41,31,20,13.3,6,30.5,30.4,30.4,0
21,February,2020,USA,New York,36,29.3,21,55,35.1,20,16,10,5,30.5,30.4,30.3,0
22,February,2020,USA,New York,50,41,32,35,24.3,15,15,10.3,5,30.3,30.2,30.1,0
23,February,2020,USA,New York,55,46.6,38,51,28,15,14,8,0,30.2,30.1,30.1,0
24,February,2020,USA,New York,60,49.5,41,66,43.7,16,14,7.3,0,30.1,30,29.9,0
25,February,2020,USA,New York,51,47.4,44,93,80.4,52,10,6.7,3,29.9,29.9,29.8,0
26,February,2020,USA,New York,48,44.8,42,100,89.8,77,17,9.1,0,29.9,29.9,29.6,0.14
27,February,2020,USA,New York,45,40.6,32,100,62.7,29,32,21.3,6,29.8,29.5,29.3,0.46
28,February,2020,USA,New York,41,35.5,30,47,33,22,25,18.7,12,29.9,29.8,29.8,0
29,February,2020,USA,New York,35,31.2,27,49,39,31,24,16.6,13,30.1,29.9,29.8,0
1,March,2020,USA,New York,44,35.5,26,55,41.8,30,23,13.4,6,30.1,30.1,30.1,0
2,March,2020,USA,New York,56,48.2,38,73,51.1,35,16,10.3,5,30.1,29.9,29.8,0
3,March,2020,USA,New York,58,52.4,48,89,75.5,53,26,10.1,0,29.8,29.6,29.4,0.01
4,March,2020,USA,New York,57,50.5,46,66,44.8,24,28,18.2,12,29.9,29.7,29.5,0.28
5,March,2020,USA,New York,52,44.8,40,71,48.5,27,24,12.9,5,30.1,30.1,29.9,0
6,March,2020,USA,New York,45,41.6,37,89,74.7,65,20,13,5,30.1,29.9,29.8,0
7,March,2020,USA,New York,47,41,37,76,42.1,18,23,14.7,8,30.4,30.2,29.9,0.14
8,March,2020,USA,New York,60,47.8,37,41,27.6,16,14,10.2,5,30.4,30.4,30.3,0
9,March,2020,USA,New York,72,59.3,47,41,25.8,15,17,11,6,30.4,30.3,30.2,0
10,March,2020,USA,New York,66,61,55,64,46.8,33,20,12.8,6,30.2,30,29.9,0
11,March,2020,USA,New York,56,50.4,44,66,44.6,28,22,9.4,3,30.1,30.1,30,0
12,March,2020,USA,New York,48,44.7,42,85,72.5,36,13,8.7,0,30.2,30.1,30.1,0
13,March,2020,USA,New York,70,54.6,43,96,70.3,15,26,14.7,5,30.1,29.9,29.7,0.17
14,March,2020,USA,New York,55,48.9,45,40,34.5,27,24,14.8,8,30.4,30.3,30.1,0.12
15,March,2020,USA,New York,53,46.8,42,51,34.9,23,13,9.5,5,30.5,30.4,30.3,0
16,March,2020,USA,New York,43,39.3,34,67,48.9,28,18,13.7,9,30.6,30.5,30.4,0
17,March,2020,USA,New York,55,47.5,41,89,71.6,50,12,8.3,3,30.4,30.2,30,0.08
18,March,2020,USA,New York,53,47.6,44,52,44.7,31,18,10.1,5,30.5,30.4,30.3,0.07
19,March,2020,USA,New York,52,46.2,42,89,79.5,60,18,9.9,3,30.4,30.2,30.2,1
20,March,2020,USA,New York,77,56,47,93,74.8,37,21,9.2,0,30.2,29.9,29.7,0.02
21,March,2020,USA,New York,67,48.5,42,55,38,21,21,13.3,6,30.4,30.2,29.9,0
22,March,2020,USA,New York,43,38.4,35,55,39.8,27,17,13.6,6,30.7,30.6,30.4,0
23,March,2020,USA,New York,42,39.2,37,89,80.8,55,20,14.8,12,30.6,30.2,29.9,0
24,March,2020,USA,New York,53,44,37,82,64.1,45,17,10.3,3,30.2,30.1,30,1.44
25,March,2020,USA,New York,45,42.8,41,82,71,62,22,15.3,8,30.1,30.1,30,0
26,March,2020,USA,New York,58,47,39,71,57.6,39,15,8.6,0,30.1,29.9,29.8,0.01
27,March,2020,USA,New York,67,57.5,51,74,47.3,18,13,6.5,0,30,29.8,29.7,0
28,March,2020,USA,New York,51,46.4,45,93,74.9,46,20,11.4,3,30.1,30.1,30,0
29,March,2020,USA,New York,47,45.5,45,93,91.8,89,25,18.4,9,30,29.9,29.8,0.42
30,March,2020,USA,New York,48,44.4,42,93,83.5,79,14,8.2,3,30,29.9,29.9,0.01
