Day,Month,Year,Country,State,TempMax,TempAvg,TempMin,HumMax,HumAvg,HumMin,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Total_Precipitations
28,December,2019,Canada,Quebec,36,32.7,28,100,87.2,75,16,10.2,5,29.8,29.7,29.7,0
29,December,2019,Canada,Quebec,28,26.1,21,86,70.1,55,12,6,0,30,29.9,29.8,0
30,December,2019,Canada,Quebec,25,22.3,18,93,77.4,63,31,19.7,3,30,29.9,29.8,0
31,December,2019,Canada,Quebec,27,26.3,23,93,89.7,86,23,18.1,12,29.8,29.5,29.2,0
1,January,2020,Canada,Quebec,30,26.9,25,100,88.9,75,15,7.5,0,29.3,29.2,29.1,0
2,January,2020,Canada,Quebec,30,29.3,27,93,82.7,69,15,7.4,0,29.5,29.4,29.3,0
3,January,2020,Canada,Quebec,36,33,30,100,93.7,86,14,6.6,2,29.5,29.4,29.3,0
4,January,2020,Canada,Quebec,34,30.7,27,100,80.1,60,13,7.5,0,29.5,29.4,29.4,0
5,January,2020,Canada,Quebec,27,21.4,9,93,74.2,54,9,5,0,29.6,29.4,29.3,0
6,January,2020,Canada,Quebec,16,12.5,3,93,80.4,67,13,6.8,0,29.7,29.6,29.5,0
7,January,2020,Canada,Quebec,21,16.7,14,93,80.8,63,15,4.1,0,29.7,29.6,29.6,0
8,January,2020,Canada,Quebec,25,22.3,18,93,83.8,58,15,6.4,0,29.8,29.5,29.4,0
9,January,2020,Canada,Quebec,14,6,1,72,63.2,56,17,10.1,0,30.4,30.3,29.8,0
10,January,2020,Canada,Quebec,30,19.2,7,93,78.2,62,10,3.7,0,30.3,30,29.9,0
11,January,2020,Canada,Quebec,36,32.5,27,100,98.8,93,13,5.2,0,30,29.7,29.5,0
12,January,2020,Canada,Quebec,27,16.8,14,93,83.6,67,41,25.5,12,30.3,29.2,0,0
13,January,2020,Canada,Quebec,16,13.2,7,93,81.8,67,21,9.9,0,30.3,30.2,30.1,0
14,January,2020,Canada,Quebec,18,10.5,-4,92,81,73,17,7.5,0,30.2,30.1,29.8,0
15,January,2020,Canada,Quebec,27,20.7,18,93,88.9,80,16,9.9,3,29.8,29.8,29.7,0
16,January,2020,Canada,Quebec,27,21.2,5,100,83.8,53,13,3.6,0,30,29.7,29.6,0
17,January,2020,Canada,Quebec,3,-3.3,-9,71,58.4,50,17,10.5,5,30.4,30.3,30,0
18,January,2020,Canada,Quebec,9,-1.7,-13,85,73.1,64,29,12.5,0,30.4,30,29.6,0
19,January,2020,Canada,Quebec,14,10.4,7,92,79,67,26,15.2,0,29.7,29.5,29.4,0
20,January,2020,Canada,Quebec,9,4.5,-4,78,66.8,56,21,11.5,3,30,29.9,29.7,0
21,January,2020,Canada,Quebec,10,5.2,-4,92,75.3,62,16,7.5,0,30.1,30.1,30,0
22,January,2020,Canada,Quebec,28,17.7,10,100,84.4,74,9,2.2,0,30,30,29.9,0
23,January,2020,Canada,Quebec,32,28,21,93,81,69,15,10.8,2,30.1,30,29.9,0
24,January,2020,Canada,Quebec,28,25.3,19,93,82.2,74,16,9.4,0,30.3,30.2,30.1,0
25,January,2020,Canada,Quebec,32,27.2,23,100,87.4,80,21,15.4,12,30.1,29.9,29.6,0
26,January,2020,Canada,Quebec,32,31.3,28,100,93.4,87,25,12.6,0,29.6,29.4,29.2,0
27,January,2020,Canada,Quebec,34,31.1,28,100,90.1,75,12,6.7,0,29.4,29.3,29.2,0
28,January,2020,Canada,Quebec,28,22.7,10,93,87.6,80,13,6.3,0,29.7,29.5,29.4,0
29,January,2020,Canada,Quebec,19,13,7,92,61.1,49,13,5.6,2,30,29.8,29.7,0
30,January,2020,Canada,Quebec,16,6.3,-6,85,71.4,62,12,5.9,0,30.1,30.1,30,0
31,January,2020,Canada,Quebec,21,6.2,-6,92,79.8,63,12,3.8,0,30.1,30,29.9,0
1,February,2020,Canada,Quebec,25,19,12,100,86.9,74,9,2.5,0,29.9,29.7,29.5,0
2,February,2020,Canada,Quebec,27,20.5,16,93,88.4,80,12,4.3,0,29.4,29.3,29.2,0
3,February,2020,Canada,Quebec,32,25.5,21,100,90.1,80,16,9.5,3,29.6,29.3,29.2,0
4,February,2020,Canada,Quebec,28,24.8,19,93,81.3,54,13,4.9,0,29.6,29.5,29.4,0
5,February,2020,Canada,Quebec,25,11.2,-2,78,60.5,49,15,7.7,2,29.9,29.8,29.5,0
6,February,2020,Canada,Quebec,23,15.4,3,93,84.5,67,20,7.1,0,29.8,29.5,29.3,0
7,February,2020,Canada,Quebec,23,19.7,14,93,87.5,73,32,21,2,29.3,29.1,28.9,0
8,February,2020,Canada,Quebec,12,3.3,-2,72,65.5,56,20,12.9,6,30.1,29.7,29.2,0
9,February,2020,Canada,Quebec,9,-0.7,-11,85,75.8,57,14,7.9,0,30.3,30.2,30,0
10,February,2020,Canada,Quebec,27,19.2,10,100,88.4,67,12,5.2,0,30,29.8,29.7,0
11,February,2020,Canada,Quebec,28,26,23,100,92.8,86,14,3.7,0,29.8,29.6,29.5,0
12,February,2020,Canada,Quebec,30,26.1,21,93,80,64,17,11.8,7,29.7,29.6,29.5,0
13,February,2020,Canada,Quebec,28,19.5,3,93,82.1,61,20,11.2,5,29.6,29.5,29.4,0
14,February,2020,Canada,Quebec,1,-6.1,-15,71,59.7,51,20,11,6,30.3,30,29.7,0
15,February,2020,Canada,Quebec,12,-2.9,-18,92,75.6,62,8,3.4,0,30.3,30.1,29.8,0
16,February,2020,Canada,Quebec,32,24.2,9,100,86,73,16,7.5,0,29.7,29.6,29.6,0
17,February,2020,Canada,Quebec,30,12.8,-8,84,59.8,48,14,7.7,0,30.2,30,29.6,0
18,February,2020,Canada,Quebec,36,14.6,-11,100,84.1,53,28,12.6,0,30.2,29.8,29.4,0
19,February,2020,Canada,Quebec,36,21.4,1,87,61.3,45,28,16.5,7,30,29.7,29.4,0
20,February,2020,Canada,Quebec,7,-2.2,-11,71,59.6,44,18,9.5,3,30.2,30.1,30.1,0
21,February,2020,Canada,Quebec,21,2.6,-24,84,69.6,53,15,6.3,0,30.1,30,29.7,0
22,February,2020,Canada,Quebec,34,26.2,18,86,71.6,56,23,14.2,5,29.7,29.7,29.7,0
23,February,2020,Canada,Quebec,37,26.7,14,93,82.8,65,12,4.5,0,29.8,29.7,29.7,0
24,February,2020,Canada,Quebec,43,33.3,23,93,72.5,49,18,6.8,0,29.7,29.6,29.6,0
25,February,2020,Canada,Quebec,39,30.2,19,100,78.5,56,9,2.9,0,29.8,29.7,29.7,0
26,February,2020,Canada,Quebec,32,28.2,21,75,68.7,63,25,12.9,5,29.9,29.8,29.7,0
27,February,2020,Canada,Quebec,32,26.8,21,93,86.5,69,46,28.1,8,29.7,29.2,29,0
28,February,2020,Canada,Quebec,21,14.7,7,92,77.1,62,21,13.9,5,29.4,29.2,29.1,0
29,February,2020,Canada,Quebec,18,10.2,0,92,79.1,63,15,9.2,0,29.6,29.5,29.4,0
1,March,2020,Canada,Quebec,23,15.3,9,85,74.6,59,16,11.3,6,29.8,29.7,29.6,0
2,March,2020,Canada,Quebec,30,19.2,0,100,84.6,63,13,6.7,0,29.8,29.5,29.4,0
3,March,2020,Canada,Quebec,39,31.7,27,100,94.3,75,16,4.2,0,29.5,29.4,29.1,0
4,March,2020,Canada,Quebec,36,32.8,28,100,87.5,69,25,15.3,3,29.4,29,28.9,0
5,March,2020,Canada,Quebec,36,29,21,74,57,38,15,9.9,0,29.8,29.7,29.4,0
6,March,2020,Canada,Quebec,28,25.5,19,74,66.8,54,21,11.7,2,30,29.9,29.8,0
7,March,2020,Canada,Quebec,28,19.5,10,63,54.5,46,15,8.1,2,30.1,30,29.9,0
8,March,2020,Canada,Quebec,37,28.7,19,80,61.6,48,21,11.4,2,30,29.9,29.9,0
9,March,2020,Canada,Quebec,32,22.4,19,93,83.5,69,24,19.2,2,30,30,29.9,0
10,March,2020,Canada,Quebec,30,26.6,21,100,94.1,86,22,10.9,2,29.9,29.6,29.4,0
11,March,2020,Canada,Quebec,30,21.6,16,93,74.3,63,18,9.5,2,29.9,29.9,29.7,0
12,March,2020,Canada,Quebec,27,19.6,10,86,75.5,59,16,8.6,2,30,30,29.9,0
13,March,2020,Canada,Quebec,41,31.9,27,100,86.1,69,29,19.4,2,29.9,29.5,29.3,0
14,March,2020,Canada,Quebec,37,31.1,19,87,62.1,48,28,19.8,8,30.1,29.7,29.4,0
15,March,2020,Canada,Quebec,28,20.4,14,68,50.3,31,10,6.4,3,30.4,30.3,30.1,0
16,March,2020,Canada,Quebec,25,15.7,3,68,55.9,43,8,4.6,0,30.4,30.3,30,0
17,March,2020,Canada,Quebec,36,29.4,19,100,85,58,23,9.3,0,30,29.7,29.6,0
18,March,2020,Canada,Quebec,30,25.4,18,93,60.9,44,14,7.8,0,30.2,30.1,29.8,0
19,March,2020,Canada,Quebec,36,30.6,25,80,65.3,55,20,10.7,3,30.2,30.1,30,0
20,March,2020,Canada,Quebec,43,36.1,32,100,93.3,70,23,11.1,3,29.9,29.3,29,0
21,March,2020,Canada,Quebec,34,21.1,14,65,48.9,34,20,11,5,30.3,30,29.5,0
22,March,2020,Canada,Quebec,25,14,1,78,56.6,40,14,6,0,30.5,30.4,30.3,0
23,March,2020,Canada,Quebec,34,24.5,7,93,71.4,47,12,6.2,2,30.4,30.1,29.9,0
24,March,2020,Canada,Quebec,41,32.2,28,100,80.4,42,9,4.3,0,29.9,29.9,29.8,0
25,March,2020,Canada,Quebec,43,31.8,19,86,68.2,42,12,4.8,0,30,29.9,29.8,0
26,March,2020,Canada,Quebec,41,34.1,25,93,75.7,56,15,6.8,0,29.8,29.6,29.4,0
27,March,2020,Canada,Quebec,41,35.4,32,100,87.6,57,15,6.4,0,29.8,29.5,29.3,0
28,March,2020,Canada,Quebec,41,32.7,21,74,52.3,29,13,6.1,0,29.9,29.9,29.8,0
29,March,2020,Canada,Quebec,41,34,28,100,80.4,55,22,14.9,5,29.9,29.9,29.8,0
30,March,2020,Canada,Quebec,34,33.2,32,100,91.8,75,30,20.9,16,29.9,29.8,29.7,0
